"id","domainname","notes","npi_count","is_athenahealth","is_multi_site","is_could_not_find_form","patient_record_request_form_url","is_plaintext_email_delivery_available","is_secure_email_non_Direct_delivery_available","is_fax_delivery_available","is_mail_delivery_available","is_Direct_delivery_available","is_portal_delivery_available","is_FHIR_url_delivery_available","is_non_FHIR_app_delivery_available","is_in_person_pickup_available","is_physical_disk_available","is_undefined_digital_delivery_available"
"31","va.gov",,"484",NULL,"0","0","https://www.va.gov/vaforms/medical/pdf/VHA%20Form%2010-5345%20Fill-revision.pdf","0","0","0","1","0","0","0","0","0","0","0"
"32","musc.edu",,"476",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"33","wvumedicine.org",,"436",NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"34","sanfordhealth.org",,"426",NULL,"0","0","https://www.sanfordhealth.org/-/media/org/files/patients-and-visitors/release-of-information/2017-roi-authorization.pdf","1","0","1","1","0","1","0","0","1","1","0"
"35","srhs.com",,"425",NULL,"0","0","https://www.spartanburgregional.com/sites/default/files/2020-08/AUTHORIZATION%20TO%20RELEASE%20AND%20DISCLOSE%20PATIENT%20INFORMATION_0.pdf","0","1","1","1","0","1","0","0","0","1","0"
"36","hattiesburgclinic.com",,"425",NULL,"0","0","https://www.hattiesburgclinic.com/wp-content/uploads/2013/04/Authorization-for-Disclosure-of-Medical-Information-2016.pdf","0","0","1","1","0","1","0","0","1","1","0"
"37","crystalrunhealthcare.com",,"418",NULL,"0","0","https://www.crystalrunhealthcare.com/sites/default/files/CRHC%20Authorization%20for%20Release%20of%20Health%20Information_0_0.pdf","0","0","1","1","0","0","0","0","0","1","0"
"38","chifranciscan.org",,"410",NULL,"0","0","https://www.chifranciscan.org/content/dam/chi-franciscan/website-files/patient-and-visitors/documents/596065_ROI-AuthDisclosurePHI_2021.06.25.pdf","0","1","1","1","0","1","0","0","1","1","0"
"39","rsfh.com",,"405",NULL,"0","0","https://www.rsfh.com/upload/docs/Copyright%20Bar/Privacy/Patient%20Authorization%20for%20Release%20of%20Information%20form%20-%20RSF%20Hospitals%20(10.13).pdf","0","1","1","1","0","0","0","0","1","1","0"
"40","southcoast.org",,"395",NULL,"0","0","https://www.southcoast.org/wp-content/uploads/2021/04/authorization_for_release_of_protected_health_info_shg_english.pdf","1","0","0","1","0","0","0","0","0","1","0"
"41","northshore.org",,"388",NULL,"0","0","https://www.northshore.org/globalassets/locations/release-of-information-form-dec-2015.pdf","0","1","1","1","0","0","0","0","0","1","0"
"42","ecu.edu",,"387",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"43","nghs.com",,"383",NULL,"0","0","https://www.nghs.com/wp-content/uploads/2021/02/C-45-A-ConsentReleaseInfo-fillable.pdf","1","0","1","1","0","1","0","0","1","1","1"
"44","bronsonhg.org",,"382",NULL,"0","0","https://www.bronsonhealth.com/app/files/public/4003/System-Request-Your-Medical-Record-Form.pdf","0","0","1","1","0","0","0","0","1","0","0"
"45","krmc.org",,"377",NULL,"0","0","https://www.logan.org/data/content/hJeNsX4c_Authorization_to_Disclose_177_12.18.pdf","0","1","1","1","0","0","0","0","1","1","0"
"46","stjoe.org",,"363",NULL,"0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"47","reverehealth.com",,"340",NULL,"0","0","https://revere-health-cdn.sfo2.cdn.digitaloceanspaces.com/Authorization-Release-Form.pdf","0","0","1","1","0","0","0","0","0","0","0"
"48","encompasshealth.com",,"326",NULL,"0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"49","mercyhealth.com",,"310",NULL,"0","0","https://www.mercyhealth.com/assets/documents/medical-records/authorization-to-use-or-disclose-protected-health-information-mercy-health.pdf","0","0","1","1","0","0","0","0","1","1","0"
"50","forefrontderm.com",,"309",NULL,"0","0","https://forefrontdermatology.com/wp-content/uploads/2019/07/Forefront-Dermatology-release-of-information.pdf","1","0","1","1","0","0","0","0","1","0","0"
"51","watsonclinic.com",,"304",NULL,"0","0","https://www.watsonclinic.com/uploads/Health_Information_Form.pdf","0","0","1","1","0","0","0","0","1","0","1"
"52","iupui.edu",,"300",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"53","wellstar.org",,"291",NULL,"0","0","https://www.wellstar.org/-/media/project/wellstar/org/documents/release-of-protected-health-information.pdf","0","1","1","1","0","1","0","0","1","0","0"
"54","lhn.net",,"286",NULL,"0","0","https://www.blufftonregional.com/Uploads/Public/Documents/all-new-documents/lutheran/Updated%20Request%20form%20-%201406%20(1).pdf","1","0","1","1","0","0","0","0","1","1","0"
"55","sih.net",,"279",NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"56","thechristhospital.com",,"278",NULL,"0","0","https://www.thechristhospital.com/Documents/Patient%20and%20Visitor%20Resources/application%20form.pdf","0","0","0","1","0","0","0","0","0","0","0"
"57","fmolhs.org",,"273",NULL,"0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"58","harbinclinic.com",,"272","1","0","0","https://harbinclinic.com/sites/default/files/documents/RM%2010.01%20-%20Release%20of%20Medical%20Records%20Attachment%20A%20-%20Authorization%20for%20the%20Release%20of%20Protected%20Health%20Information%20Rev.doc","0","1","1","1","0","0","0","0","1","0","0"
"59","slhduluth.com",,"272",NULL,"0","0","https://www.slhduluth.com/documents/Authorization-for-Release-of-Information-MR19b-April-2021.pdf","1","0","1","1","0","0","0","0","1","0","0"
"60","health.slu.edu",,"243",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"61","hahoc.com",,"240",NULL,"0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"62","mcfarlandclinic.com",,"231",NULL,"0","0","https://www.mcfarlandclinic.com/media/cms/Release_of_Information_document_wit_56C904CA45226.pdf","0","0","1","1","0","0","0","0","0","0","0"
"63","orthovirginia.com",,"228",NULL,"0","0","https://www.orthovirginia.com/UserFiles/File/records%20requests/OVA%20West%20Authorization%20Form.pdf","1","0","1","1","0","1","0","0","0","1","0"
"64","bjc.org",,"223",NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"65","wakemed.org",,"221",NULL,"0","0","https://www.wakemed.org/assets/documents/n-724.1-auth-to-release-med-information.pdf","0","0","1","1","0","1","0","0","1","1","0"
"66","SIUMED.EDU",,"212",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"67","chs.net",,"212","1","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"68","chs.net","repeat","212","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"69","chs.net","repeat","212","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"70","chs.net","repeat","212","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
